序号,汉字,频度统计,频度顺序,频率,,
951,欣,13500,1520,0.0070%,,
1965,惠,13492,1521,0.0070%,,
259,册,13462,1522,0.0070%,,
2046,储,13408,1523,0.0070%,,
2374,飘,13357,1524,0.0070%,,
1697,桑,13328,1525,0.0069%,,
717,闲,13316,1526,0.0069%,,
1880,惨,13314,1527,0.0069%,,
1337,洁,13261,1528,0.0069%,,
2387,踪,13193,1529,0.0069%,,
2761,勃,13183,1530,0.0069%,,
1659,宾,13149,1531,0.0068%,,
3211,频,13127,1532,0.0068%,,
123,仇,13118,1533,0.0068%,,
2443,磨,13082,1534,0.0068%,,
1631,递,13012,1535,0.0068%,,
362,邪,12952,1536,0.0067%,,
2363,撞,12894,1537,0.0067%,,
2570,拟,12885,1538,0.0067%,,
2250,滚,12863,1539,0.0067%,,
1102,奏,12859,1540,0.0067%,,
527,巡,12852,1541,0.0067%,,
2410,颜,12837,1542,0.0067%,,
998,剂,12821,1543,0.0067%,,
1902,绩,12789,1544,0.0067%,,
552,贡,12785,1545,0.0067%,,
1309,疯,12771,1546,0.0067%,,
826,坡,12758,1547,0.0066%,,
2462,瞧,12745,1548,0.0066%,,
2275,截,12718,1549,0.0066%,,
2449,燃,12708,1550,0.0066%,,
2044,焦,12684,1551,0.0066%,,
2260,殿,12667,1552,0.0066%,,
423,伪,12654,1553,0.0066%,,
1159,柳,12642,1554,0.0066%,,
2015,锁,12638,1555,0.0066%,,
1967,逼,12623,1556,0.0066%,,
3074,颇,12605,1557,0.0066%,,
980,昏,12600,1558,0.0066%,,
171,劝,12587,1559,0.0066%,,
616,呈,12567,1560,0.0065%,,
1929,搜,12537,1561,0.0065%,,
2142,勤,12536,1562,0.0065%,,
533,戒,12510,1563,0.0065%,,
1087,驾,12492,1564,0.0065%,,
2339,漂,12488,1565,0.0065%,,
699,饮,12453,1566,0.0065%,,
2971,曹,12443,1567,0.0065%,,
442,朵,12435,1568,0.0065%,,
246,仔,12428,1569,0.0065%,,
1404,柔,12389,1570,0.0065%,,
1253,俩,12340,1571,0.0064%,,
1077,孟,12274,1572,0.0064%,,
2328,腐,12264,1573,0.0064%,,
310,幼,12257,1574,0.0064%,,
1995,践,12242,1575,0.0064%,,
2493,籍,12205,1576,0.0064%,,
926,牧,12193,1577,0.0064%,,
1609,凉,12156,1578,0.0063%,,
1240,牲,12107,1579,0.0063%,,
934,佳,12061,1580,0.0063%,,
2829,娜,12060,1581,0.0063%,,
1353,浓,12016,1582,0.0063%,,
583,芳,12015,1583,0.0063%,,
2396,稿,12012,1584,0.0063%,,
401,竹,12000,1585,0.0062%,,
2224,腹,11974,1586,0.0062%,,
1996,跌,11967,1587,0.0062%,,
3002,逻,11959,1588,0.0062%,,
925,垂,11949,1589,0.0062%,,
2413,遵,11935,1590,0.0062%,,
1284,脉,11932,1591,0.0062%,,
2316,貌,11921,1592,0.0062%,,
1158,柏,11902,1593,0.0062%,,
1290,狱,11886,1594,0.0062%,,
1825,猜,11875,1595,0.0062%,,
1040,怜,11848,1596,0.0062%,,
1966,惑,11829,1597,0.0062%,,
1688,陶,11821,1598,0.0062%,,
1857,兽,11820,1599,0.0062%,,
643,帐,11798,1600,0.0061%,,
987,饰,11794,1601,0.0061%,,
1254,贷,11793,1602,0.0061%,,
898,昌,11787,1603,0.0061%,,
1275,叙,11786,1604,0.0061%,,
2402,躺,11745,1605,0.0061%,,
1231,钢,11738,1606,0.0061%,,
729,沟,11735,1607,0.0061%,,
1883,寄,11729,1608,0.0061%,,
538,扶,11659,1609,0.0061%,,
2012,铺,11654,1610,0.0061%,,
2510,邓,11651,1611,0.0061%,,
528,寿,11646,1612,0.0061%,,
1877,惧,11644,1613,0.0061%,,
1064,询,11643,1614,0.0061%,,
481,汤,11620,1615,0.0061%,,
1842,盗,11595,1616,0.0060%,,
976,肥,11594,1617,0.0060%,,
1191,尝,11557,1618,0.0060%,,
258,匆,11540,1619,0.0060%,,
1981,辉,11518,1620,0.0060%,,
2664,奈,11509,1621,0.0060%,,
318,扣,11505,1622,0.0060%,,
2536,廷,11499,1623,0.0060%,,
3373,澳,11475,1624,0.0060%,,
1946,董,11450,1625,0.0060%,,
402,迁,11433,1626,0.0060%,,
2444,凝,11409,1627,0.0059%,,
2418,慰,11379,1628,0.0059%,,
345,厌,11376,1629,0.0059%,,
1582,脏,11350,1630,0.0059%,,
2225,腾,11343,1631,0.0059%,,
2780,幽,11319,1632,0.0059%,,
1293,怨,11305,1633,0.0059%,,
2367,鞋,11288,1634,0.0059%,,
399,丢,11285,1635,0.0059%,,
1439,埋,11246,1636,0.0059%,,
1265,泉,11237,1637,0.0059%,,
1649,涌,11228,1638,0.0058%,,
3295,辖,11213,1639,0.0058%,,
2218,躲,11201,1640,0.0058%,,
1461,晋,11192,1641,0.0058%,,
1980,紫,11172,1642,0.0058%,,
1089,艰,11164,1643,0.0058%,,
3451,魏,11161,1644,0.0058%,,
2092,慌,11149,1645,0.0058%,,
1376,祝,11144,1646,0.0058%,,
629,邮,11137,1647,0.0058%,,
376,吐,11132,1648,0.0058%,,
1291,狠,11116,1649,0.0058%,,
2175,鉴,11090,1650,0.0058%,,
1739,械,11060,1651,0.0058%,,
1220,咬,11029,1652,0.0057%,,
683,邻,10996,1653,0.0057%,,
554,赤,10981,1654,0.0057%,,
1129,挤,10920,1655,0.0057%,,
1299,弯,10917,1656,0.0057%,,
1958,椅,10917,1657,0.0057%,,
1690,陪,10908,1658,0.0057%,,
2097,割,10894,1659,0.0057%,,
1925,揭,10892,1660,0.0057%,,
1650,悟,10876,1661,0.0057%,,
2366,聪,10863,1662,0.0057%,,
2170,雾,10856,1663,0.0057%,,
2019,锋,10783,1664,0.0056%,,
1745,梯,10738,1665,0.0056%,,
1673,祥,10724,1666,0.0056%,,
1828,猫,10724,1667,0.0056%,,
2070,阔,10722,1668,0.0056%,,
2255,誉,10683,1669,0.0056%,,
2209,筹,10671,1670,0.0056%,,
251,丛,10665,1671,0.0056%,,
1177,牵,10641,1672,0.0055%,,
908,鸣,10636,1673,0.0055%,,
731,沈,10628,1674,0.0055%,,
1319,阁,10595,1675,0.0055%,,
3415,穆,10592,1676,0.0055%,,
1074,屈,10591,1677,0.0055%,,
446,旨,10590,1678,0.0055%,,
1670,袖,10564,1679,0.0055%,,
1827,猎,10561,1680,0.0055%,,
2472,臂,10542,1681,0.0055%,,
1775,蛇,10538,1682,0.0055%,,
1400,贺,10507,1683,0.0055%,,
1160,柱,10504,1684,0.0055%,,
561,抛,10477,1685,0.0055%,,
2214,鼠,10476,1686,0.0055%,,
3187,瑟,10473,1687,0.0055%,,
2505,戈,10456,1688,0.0054%,,
739,牢,10454,1689,0.0054%,,
2826,逊,10444,1690,0.0054%,,
364,迈,10432,1691,0.0054%,,
1940,欺,10418,1692,0.0054%,,
627,吨,10403,1693,0.0054%,,
1911,琴,10383,1694,0.0054%,,
1594,衰,10367,1695,0.0054%,,
1619,瓶,10361,1696,0.0054%,,
1358,恼,10356,1697,0.0054%,,
2421,燕,10325,1698,0.0054%,,
2539,仲,10316,1699,0.0054%,,
1378,诱,10307,1700,0.0054%,,
1586,狼,10295,1701,0.0054%,,
480,池,10289,1702,0.0054%,,
1603,疼,10279,1703,0.0054%,,
2514,卢,10266,1704,0.0053%,,
240,仗,10263,1705,0.0053%,,
1370,冠,10217,1706,0.0053%,,
1854,粒,10200,1707,0.0053%,,
2221,遥,10179,1708,0.0053%,,
2533,吕,10156,1709,0.0053%,,
2524,玄,10151,1710,0.0053%,,
370,尘,10137,1711,0.0053%,,
2523,冯,10128,1712,0.0053%,,
539,抚,10100,1713,0.0053%,,
1018,浅,10088,1714,0.0053%,,
3154,敦,10084,1715,0.0053%,,
308,纠,10064,1716,0.0052%,,
1526,钻,10064,1717,0.0052%,,
1990,晶,10038,1718,0.0052%,,
391,岂,10036,1719,0.0052%,,
1224,峡,10028,1720,0.0052%,,
582,苍,10027,1721,0.0052%,,
1989,喷,10027,1722,0.0052%,,
1419,耗,9999,1723,0.0052%,,
2911,凌,9999,1724,0.0052%,,
2324,敲,9978,1725,0.0052%,,
1732,菌,9971,1726,0.0052%,,
2009,赔,9960,1727,0.0052%,,
1640,涂,9949,1728,0.0052%,,
3315,粹,9943,1729,0.0052%,,
1372,扁,9917,1730,0.0052%,,
23,亏,9884,1731,0.0051%,,
3060,寂,9875,1732,0.0051%,,
2240,煤,9832,1733,0.0051%,,
2352,熊,9788,1734,0.0051%,,
1456,恭,9787,1735,0.0051%,,
2082,湿,9783,1736,0.0051%,,
2051,循,9768,1737,0.0051%,,
2181,暖,9762,1738,0.0051%,,
2447,糖,9757,1739,0.0051%,,
3134,赋,9723,1740,0.0051%,,
2569,抑,9719,1741,0.0051%,,
1541,秩,9713,1742,0.0051%,,
2007,帽,9697,1743,0.0051%,,
1302,哀,9693,1744,0.0050%,,
1884,宿,9693,1745,0.0050%,,
2385,踏,9656,1746,0.0050%,,
1335,烂,9635,1747,0.0050%,,
2839,袁,9609,1748,0.0050%,,
2793,侯,9585,1749,0.0050%,,
567,抖,9584,1750,0.0050%,,
360,夹,9574,1751,0.0050%,,
896,昆,9557,1752,0.0050%,,
685,肝,9551,1753,0.0050%,,
2457,擦,9542,1754,0.0050%,,
1826,猪,9535,1755,0.0050%,,
1332,炼,9528,1756,0.0050%,,
1355,恒,9483,1757,0.0049%,,
2254,慎,9479,1758,0.0049%,,
2136,搬,9478,1759,0.0049%,,
791,纽,9466,1760,0.0049%,,
788,纹,9463,1761,0.0049%,,
1106,玻,9447,1762,0.0049%,,
1865,渔,9441,1763,0.0049%,,
2294,磁,9433,1764,0.0049%,,
1784,铜,9416,1765,0.0049%,,
885,齿,9415,1766,0.0049%,,
2186,跨,9404,1767,0.0049%,,
807,押,9401,1768,0.0049%,,
1037,怖,9400,1769,0.0049%,,
2243,漠,9366,1770,0.0049%,,
1604,疲,9364,1771,0.0049%,,
1324,叛,9361,1772,0.0049%,,
2191,遣,9335,1773,0.0049%,,
3034,祭,9316,1774,0.0049%,,
2376,醉,9292,1775,0.0048%,,
1620,拳,9290,1776,0.0048%,,
2722,弥,9276,1777,0.0048%,,
1812,斜,9264,1778,0.0048%,,
1466,档,9248,1779,0.0048%,,
2028,稀,9234,1780,0.0048%,,
1709,捷,9225,1781,0.0048%,,
969,肤,9214,1782,0.0048%,,
972,肿,9202,1783,0.0048%,,
1310,疫,9202,1784,0.0048%,,
601,豆,9179,1785,0.0048%,,
1190,削,9169,1786,0.0048%,,
642,岗,9163,1787,0.0048%,,
1509,晃,9157,1788,0.0048%,,
534,吞,9142,1789,0.0048%,,
738,宏,9134,1790,0.0048%,,
3460,癌,9114,1791,0.0047%,,
686,肚,9102,1792,0.0047%,,
1070,隶,9100,1793,0.0047%,,
3386,履,9091,1794,0.0047%,,
1647,涨,9089,1795,0.0047%,,
2489,耀,9060,1796,0.0047%,,
571,扭,9054,1797,0.0047%,,
540,坛,9049,1798,0.0047%,,
727,沃,9047,1799,0.0047%,,
828,拨,9047,1800,0.0047%,,
1411,绘,9039,1801,0.0047%,,
412,伐,9028,1802,0.0047%,,
1915,堪,9026,1803,0.0047%,,
121,仆,8976,1804,0.0047%,,
2914,郭,8931,1805,0.0047%,,
1533,牺,8926,1806,0.0046%,,
609,歼,8910,1807,0.0046%,,
2145,墓,8890,1808,0.0046%,,
3175,雇,8857,1809,0.0046%,,
2231,廉,8854,1810,0.0046%,,
2733,契,8845,1811,0.0046%,,
1130,拼,8842,1812,0.0046%,,
2049,惩,8839,1813,0.0046%,,
1440,捉,8838,1814,0.0046%,,
2476,覆,8795,1815,0.0046%,,
1073,刷,8773,1816,0.0046%,,
577,劫,8752,1817,0.0046%,,
2263,嫌,8748,1818,0.0046%,,
249,瓜,8740,1819,0.0046%,,
2183,歇,8733,1820,0.0045%,,
2442,雕,8713,1821,0.0045%,,
719,闷,8708,1822,0.0045%,,
965,乳,8701,1823,0.0045%,,
633,串,8695,1824,0.0045%,,
1393,娃,8662,1825,0.0045%,,
2455,缴,8659,1826,0.0045%,,
1516,唤,8657,1827,0.0045%,,
2468,赢,8657,1828,0.0045%,,
1457,莲,8650,1829,0.0045%,,
1470,桃,8639,1830,0.0045%,,
2497,霸,8639,1831,0.0045%,,
681,妥,8634,1832,0.0045%,,
2329,瘦,8632,1833,0.0045%,,
1916,搭,8626,1834,0.0045%,,
1118,赴,8594,1835,0.0045%,,
2684,岳,8577,1836,0.0045%,,
2273,嘉,8576,1837,0.0045%,,
1569,舱,8575,1838,0.0045%,,
1269,俊,8543,1839,0.0044%,,
548,址,8541,1840,0.0044%,,
2699,庞,8531,1841,0.0044%,,
1418,耕,8525,1842,0.0044%,,
2020,锐,8522,1843,0.0044%,,
2266,缝,8512,1844,0.0044%,,
1652,悔,8485,1845,0.0044%,,
2439,邀,8484,1846,0.0044%,,
2736,玲,8475,1847,0.0044%,,
248,斥,8464,1848,0.0044%,,
486,宅,8464,1849,0.0044%,,
1859,添,8460,1850,0.0044%,,
1131,挖,8449,1851,0.0044%,,
2672,呵,8433,1852,0.0044%,,
2552,讼,8410,1853,0.0044%,,
1531,氧,8401,1854,0.0044%,,
1638,浩,8387,1855,0.0044%,,
517,羽,8366,1856,0.0044%,,
127,斤,8365,1857,0.0044%,,
2291,酷,8345,1858,0.0043%,,
1718,掠,8343,1859,0.0043%,,
773,妖,8337,1860,0.0043%,,
1889,祸,8336,1861,0.0043%,,
935,侍,8320,1862,0.0043%,,
2,乙,8313,1863,0.0043%,,
774,妨,8311,1864,0.0043%,,
966,贪,8304,1865,0.0043%,,
1128,挣,8297,1866,0.0043%,,
724,汪,8294,1867,0.0043%,,
759,尿,8292,1868,0.0043%,,
2851,莉,8289,1869,0.0043%,,
1767,悬,8282,1870,0.0043%,,
1484,唇,8279,1871,0.0043%,,
3397,翰,8279,1872,0.0043%,,
138,仓,8275,1873,0.0043%,,
361,轨,8273,1874,0.0043%,,
2659,枚,8270,1875,0.0043%,,
1436,盐,8266,1876,0.0043%,,
1187,览,8259,1877,0.0043%,,
2040,傅,8256,1878,0.0043%,,
212,帅,8249,1879,0.0043%,,
995,庙,8220,1880,0.0043%,,
581,芬,8218,1881,0.0043%,,
2824,屏,8208,1882,0.0043%,,
316,寺,8200,1883,0.0043%,,
1283,胖,8184,1884,0.0043%,,
2270,璃,8176,1885,0.0043%,,
2180,愚,8144,1886,0.0042%,,
2341,滴,8104,1887,0.0042%,,
2114,疏,8101,1888,0.0042%,,
2964,萧,8097,1889,0.0042%,,
1312,姿,8092,1890,0.0042%,,
2484,颤,8080,1891,0.0042%,,
163,丑,8067,1892,0.0042%,,
372,劣,8067,1893,0.0042%,,
28,寸,8056,1894,0.0042%,,
187,扔,8045,1895,0.0042%,,
615,盯,8041,1896,0.0042%,,
1483,辱,8029,1897,0.0042%,,
93,匹,8025,1898,0.0042%,,
1555,俱,8024,1899,0.0042%,,
2445,辨,8023,1900,0.0042%,,
1590,饿,7992,1901,0.0042%,,
2193,蜂,7989,1902,0.0042%,,
2059,腔,7975,1903,0.0042%,,
2662,郁,7968,1904,0.0041%,,
3167,溃,7962,1905,0.0041%,,
2257,谨,7960,1906,0.0041%,,
2469,糟,7960,1907,0.0041%,,
1945,葛,7952,1908,0.0041%,,
837,苗,7946,1909,0.0041%,,
687,肠,7939,1910,0.0041%,,
765,忌,7938,1911,0.0041%,,
2249,溜,7935,1912,0.0041%,,
3044,鸿,7931,1913,0.0041%,,
3455,爵,7902,1914,0.0041%,,
3244,鹏,7895,1915,0.0041%,,
2480,鹰,7890,1916,0.0041%,,
1792,笼,7888,1917,0.0041%,,
238,丘,7886,1918,0.0041%,,
1465,桂,7877,1919,0.0041%,,
2089,滋,7874,1920,0.0041%,,
2956,聊,7865,1921,0.0041%,,
1120,挡,7851,1922,0.0041%,,
783,纲,7832,1923,0.0041%,,
441,肌,7830,1924,0.0041%,,
569,壳,7813,1925,0.0041%,,
1837,痕,7805,1926,0.0041%,,
2166,碗,7773,1927,0.0040%,,
279,穴,7772,1928,0.0040%,,
2319,膀,7731,1929,0.0040%,,
2668,卓,7714,1930,0.0040%,,
890,贤,7713,1931,0.0040%,,
859,卧,7696,1932,0.0040%,,
2317,膜,7694,1933,0.0040%,,
2411,毅,7686,1934,0.0040%,,
142,欠,7682,1935,0.0040%,,
2202,锦,7682,1936,0.0040%,,
2877,哩,7677,1937,0.0040%,,
2725,函,7672,1938,0.0040%,,
1145,茫,7659,1939,0.0040%,,
902,昂,7637,1940,0.0040%,,
3394,薛,7630,1941,0.0040%,,
1589,皱,7609,1942,0.0040%,,
353,夸,7594,1943,0.0040%,,
3388,豫,7590,1944,0.0040%,,
1204,胃,7533,1945,0.0039%,,
400,舌,7511,1946,0.0039%,,
1681,剥,7504,1947,0.0039%,,
2039,傲,7503,1948,0.0039%,,
1124,拾,7497,1949,0.0039%,,
2101,窝,7456,1950,0.0039%,,
1764,睁,7454,1951,0.0039%,,
2135,携,7449,1952,0.0039%,,
1687,陵,7436,1953,0.0039%,,
2881,哼,7419,1954,0.0039%,,
1962,棉,7416,1955,0.0039%,,
1985,晴,7405,1956,0.0039%,,
1528,铃,7404,1957,0.0039%,,
2130,填,7401,1958,0.0039%,,
989,饲,7399,1959,0.0039%,,
2084,渴,7395,1960,0.0039%,,
2593,吻,7395,1961,0.0039%,,
557,扮,7372,1962,0.0038%,,
1330,逆,7339,1963,0.0038%,,
1578,脆,7336,1964,0.0038%,,
2004,喘,7320,1965,0.0038%,,
2197,罩,7309,1966,0.0038%,,
8,卜,7301,1967,0.0038%,,
1016,炉,7295,1968,0.0038%,,
1499,柴,7276,1969,0.0038%,,
2095,愉,7259,1970,0.0038%,,
1906,绳,7256,1971,0.0038%,,
2798,胎,7256,1972,0.0038%,,
2148,蓄,7213,1973,0.0038%,,
1506,眠,7195,1974,0.0037%,,
2331,竭,7194,1975,0.0037%,,
2003,喂,7184,1976,0.0037%,,
2216,傻,7167,1977,0.0037%,,
2282,慕,7165,1978,0.0037%,,
1352,浑,7136,1979,0.0037%,,
510,奸,7132,1980,0.0037%,,
1668,扇,7125,1981,0.0037%,,
847,柜,7101,1982,0.0037%,,
1653,悦,7094,1983,0.0037%,,
822,拦,7091,1984,0.0037%,,
1063,诞,7085,1985,0.0037%,,
988,饱,7059,1986,0.0037%,,
2963,乾,7057,1987,0.0037%,,
1027,泡,7046,1988,0.0037%,,
1522,贼,7045,1989,0.0037%,,
1303,亭,7041,1990,0.0037%,,
48,夕,7025,1991,0.0037%,,
1574,爹,7016,1992,0.0037%,,
2160,酬,7011,1993,0.0037%,,
3420,儒,7004,1994,0.0036%,,
1396,姻,6998,1995,0.0036%,,
695,卵,6971,1996,0.0036%,,
2682,氛,6968,1997,0.0036%,,
1020,泄,6955,1998,0.0036%,,
589,杆,6944,1999,0.0036%,,
1453,挨,6930,2000,0.0036%,,
3310,僧,6920,2001,0.0036%,,
2348,蜜,6919,2002,0.0036%,,
2591,吟,6916,2003,0.0036%,,
3151,猩,6909,2004,0.0036%,,
3161,遂,6904,2005,0.0036%,,
1286,狭,6901,2006,0.0036%,,
2586,肖,6899,2007,0.0036%,,
1787,甜,6894,2008,0.0036%,,
2461,霞,6885,2009,0.0036%,,
784,驳,6879,2010,0.0036%,,
2104,裕,6871,2011,0.0036%,,
1426,顽,6868,2012,0.0036%,,
2278,摘,6845,2013,0.0036%,,
2205,矮,6834,2014,0.0036%,,
1243,秒,6829,2015,0.0036%,,
2907,卿,6825,2016,0.0036%,,
1616,畜,6821,2017,0.0036%,,
1214,咽,6818,2018,0.0036%,,
827,披,6790,2019,0.0035%,,
1756,辅,6782,2020,0.0035%,,
148,勾,6780,2021,0.0035%,,
1279,盆,6780,2022,0.0035%,,
2487,疆,6779,2023,0.0035%,,
2008,赌,6759,2024,0.0035%,,
2238,塑,6744,2025,0.0035%,,
1202,畏,6722,2026,0.0035%,,
632,吵,6709,2027,0.0035%,,
2499,囊,6709,2028,0.0035%,,
1025,泊,6695,2029,0.0035%,,
970,肺,6692,2030,0.0035%,,
2474,骤,6688,2031,0.0035%,,
2267,缠,6675,2032,0.0035%,,
106,冈,6651,2033,0.0035%,,
1618,羞,6651,2034,0.0035%,,
3443,瞪,6644,2035,0.0035%,,
382,吊,6637,2036,0.0035%,,
2343,漏,6627,2037,0.0035%,,
2860,贾,6627,2038,0.0035%,,
1912,斑,6622,2039,0.0034%,,
1632,涛,6611,2040,0.0034%,,
1799,悠,6604,2041,0.0034%,,
1841,鹿,6599,2042,0.0034%,,
1262,俘,6594,2043,0.0034%,,
2199,锡,6586,2044,0.0034%,,
2689,卑,6572,2045,0.0034%,,
1944,葬,6558,2046,0.0034%,,
3012,铭,6555,2047,0.0034%,,
2253,滩,6550,2048,0.0034%,,
2264,嫁,6539,2049,0.0034%,,
2215,催,6538,2050,0.0034%,,
1482,翅,6524,2051,0.0034%,,
1813,盒,6506,2052,0.0034%,,
2066,蛮,6503,2053,0.0034%,,
3374,潘,6477,2054,0.0034%,,
2667,歧,6451,2055,0.0034%,,
3136,赐,6431,2056,0.0033%,,
2017,锅,6416,2057,0.0033%,,
1838,廊,6413,2058,0.0033%,,
814,拆,6412,2059,0.0033%,,
2495,灌,6403,2060,0.0033%,,
1285,勉,6398,2061,0.0033%,,
1002,盲,6395,2062,0.0033%,,
1662,宰,6390,2063,0.0033%,,
2999,啥,6331,2064,0.0033%,,
973,胀,6327,2065,0.0033%,,
547,扯,6325,2066,0.0033%,,
295,辽,6300,2067,0.0033%,,
801,抹,6299,2068,0.0033%,,
2035,筒,6296,2069,0.0033%,,
1955,棋,6294,2070,0.0033%,,
2105,裤,6282,2071,0.0033%,,
1518,唉,6269,2072,0.0033%,,
336,朴,6261,2073,0.0033%,,
906,咐,6257,2074,0.0033%,,
303,孕,6256,2075,0.0033%,,
2276,誓,6249,2076,0.0033%,,
2005,喉,6233,2077,0.0032%,,
467,妄,6228,2078,0.0032%,,
817,拘,6224,2079,0.0032%,,
2013,链,6223,2080,0.0032%,,
526,驰,6199,2081,0.0032%,,
1162,栏,6182,2082,0.0032%,,
1446,逝,6182,2083,0.0032%,,
1368,窃,6174,2084,0.0032%,,
1420,艳,6172,2085,0.0032%,,
522,纤,6166,2086,0.0032%,,
1562,臭,6166,2087,0.0032%,,
1960,棵,6159,2088,0.0032%,,
1919,趁,6154,2089,0.0032%,,
352,匠,6142,2090,0.0032%,,
1401,盈,6142,2091,0.0032%,,
1577,翁,6137,2092,0.0032%,,
2208,愁,6135,2093,0.0032%,,
3441,瞬,6119,2094,0.0032%,,
3005,婴,6114,2095,0.0032%,,
559,孝,6112,2096,0.0032%,,
1901,颈,6104,2097,0.0032%,,
1554,倘,6072,2098,0.0032%,,
1633,浙,6045,2099,0.0031%,,
1678,谅,6024,2100,0.0031%,,
2281,蔽,6016,2101,0.0031%,,
899,畅,6012,2102,0.0031%,,
2434,赠,6004,2103,0.0031%,,
3070,尉,5988,2104,0.0031%,,
702,冻,5984,2105,0.0031%,,
2188,跪,5955,2106,0.0031%,,
470,闯,5954,2107,0.0031%,,
1947,葡,5943,2108,0.0031%,,
1508,鸭,5932,2109,0.0031%,,
1968,厨,5932,2110,0.0031%,,
2425,颠,5921,2111,0.0031%,,
2327,遮,5914,2112,0.0031%,,
1680,谊,5902,2113,0.0031%,,
2532,吁,5891,2114,0.0031%,,
2507,仑,5882,2115,0.0031%,,
2261,辟,5876,2116,0.0031%,,
3367,瘤,5875,2117,0.0031%,,
2118,嫂,5863,2118,0.0031%,,
1464,框,5853,2119,0.0030%,,
3322,谭,5849,2120,0.0030%,,
2784,钦,5840,2121,0.0030%,,
1840,庸,5835,2122,0.0030%,,
2335,歉,5833,2123,0.0030%,,
334,芝,5832,2124,0.0030%,,
640,吼,5814,2125,0.0030%,,
2582,甫,5805,2126,0.0030%,,
1060,衫,5802,2127,0.0030%,,
1658,宴,5798,2128,0.0030%,,
2140,摊,5798,2129,0.0030%,,
2390,嘱,5788,2130,0.0030%,,
2913,衷,5781,2131,0.0030%,,
1397,娇,5772,2132,0.0030%,,
1079,陕,5769,2133,0.0030%,,
1238,矩,5766,2134,0.0030%,,
2921,浦,5766,2135,0.0030%,,
2550,讶,5760,2136,0.0030%,,
2897,耸,5758,2137,0.0030%,,
3269,裸,5752,2138,0.0030%,,
2269,碧,5751,2139,0.0030%,,
2274,摧,5743,2140,0.0030%,,
2423,薪,5741,2141,0.0030%,,
1860,淋,5737,2142,0.0030%,,
1454,耻,5735,2143,0.0030%,,
1583,胶,5721,2144,0.0030%,,
1893,屠,5718,2145,0.0030%,,
2024,鹅,5703,2146,0.0030%,,
267,饥,5689,2147,0.0030%,,
1193,盼,5689,2148,0.0030%,,
1820,脖,5682,2149,0.0030%,,
1207,虹,5670,2150,0.0030%,,
2351,翠,5661,2151,0.0029%,,
3004,崩,5658,2152,0.0029%,,
2679,账,5652,2153,0.0029%,,
1736,萍,5646,2154,0.0029%,,
1587,逢,5632,2155,0.0029%,,
2305,赚,5630,2156,0.0029%,,
2361,撑,5628,2157,0.0029%,,
3159,翔,5625,2158,0.0029%,,
1556,倡,5622,2159,0.0029%,,
1908,绵,5622,2160,0.0029%,,
1153,枯,5582,2161,0.0029%,,
2062,猴,5582,2162,0.0029%,,
2580,巫,5576,2163,0.0029%,,
2774,昭,5569,2164,0.0029%,,
2712,怔,5561,2165,0.0029%,,
3050,渊,5551,2166,0.0029%,,
1832,凑,5544,2167,0.0029%,,
2248,溪,5543,2168,0.0029%,,
2496,蠢,5542,2169,0.0029%,,
3040,阐,5532,2170,0.0029%,,
892,旺,5529,2171,0.0029%,,
3172,寓,5519,2172,0.0029%,,
3465,藤,5514,2173,0.0029%,,
439,伞,5511,2174,0.0029%,,
1428,匪,5511,2175,0.0029%,,
2163,碑,5509,2176,0.0029%,,
1134,挪,5500,2177,0.0029%,,
3083,琼,5495,2178,0.0029%,,
1579,脂,5492,2179,0.0029%,,
1888,谎,5481,2180,0.0029%,,
2096,慨,5479,2181,0.0029%,,
2961,菩,5477,2182,0.0029%,,
1734,萄,5463,2183,0.0028%,,
1287,狮,5456,2184,0.0028%,,
1724,掘,5436,2185,0.0028%,,
550,抄,5433,2186,0.0028%,,
916,岭,5429,2187,0.0028%,,
1511,晕,5420,2188,0.0028%,,
1173,砍,5418,2189,0.0028%,,
1891,逮,5418,2190,0.0028%,,
1717,掏,5416,2191,0.0028%,,
3118,晰,5412,2192,0.0028%,,
2629,罕,5409,2193,0.0028%,,
1449,挽,5389,2194,0.0028%,,
2058,脾,5386,2195,0.0028%,,
430,舟,5363,2196,0.0028%,,
3255,痴,5359,2197,0.0028%,,
1856,剪,5324,2198,0.0028%,,
1599,脊,5316,2199,0.0028%,,
57,弓,5315,2200,0.0028%,,
2452,懒,5307,2201,0.0028%,,
67,叉,5299,2202,0.0028%,,
809,拐,5282,2203,0.0028%,,
2313,僚,5278,2204,0.0027%,,
1442,捐,5273,2205,0.0027%,,
2633,姊,5272,2206,0.0027%,,
3186,骚,5268,2207,0.0027%,,
2640,拓,5256,2208,0.0027%,,
1167,歪,5251,2209,0.0027%,,
1852,粘,5231,2210,0.0027%,,
1154,柄,5229,2211,0.0027%,,
565,坑,5223,2212,0.0027%,,
2724,陌,5220,2213,0.0027%,,
1660,窄,5219,2214,0.0027%,,
3164,湘,5207,2215,0.0027%,,
435,兆,5204,2216,0.0027%,,
1780,崖,5199,2217,0.0027%,,
1410,骄,5196,2218,0.0027%,,
2691,刹,5185,2219,0.0027%,,
2475,鞭,5176,2220,0.0027%,,
332,芒,5174,2221,0.0027%,,
2037,筋,5170,2222,0.0027%,,
3191,聘,5148,2223,0.0027%,,
1233,钩,5140,2224,0.0027%,,
1961,棍,5140,2225,0.0027%,,
2492,嚷,5138,2226,0.0027%,,
