序号,汉字,频度统计,频度顺序,频率,,
612,步,121267,349,0.0632%,,
763,改,121023,350,0.0630%,,
506,收,120897,351,0.0630%,,
1475,根,120778,352,0.0629%,,
22,干,120564,353,0.0628%,,
1534,造,120496,354,0.0628%,,
701,言,120308,355,0.0627%,,
1941,联,120301,356,0.0627%,,
1111,持,119990,357,0.0625%,,
1092,组,119734,358,0.0624%,,
654,每,119594,359,0.0623%,,
1349,济,119161,360,0.0621%,,
94,车,118824,361,0.0619%,,
1313,亲,118451,362,0.0617%,,
595,极,117736,363,0.0613%,,
844,林,117675,364,0.0613%,,
977,服,116961,365,0.0609%,,
735,快,116923,366,0.0609%,,
167,办,116904,367,0.0609%,,
287,议,116810,368,0.0608%,,
953,往,116539,369,0.0607%,,
77,元,116488,370,0.0607%,,
838,英,116193,371,0.0605%,,
24,士,115704,372,0.0603%,,
744,证,115610,373,0.0602%,,
673,近,115441,374,0.0601%,,
236,失,115346,375,0.0601%,,
877,转,115087,376,0.0599%,,
74,夫,114784,377,0.0598%,,
252,令,114570,378,0.0597%,,
1597,准,113877,379,0.0593%,,
201,布,113652,380,0.0592%,,
1086,始,112987,381,0.0588%,,
1239,怎,112294,382,0.0585%,,
910,呢,112185,383,0.0584%,,
349,存,110970,384,0.0578%,,
179,未,110491,385,0.0575%,,
535,远,110455,386,0.0575%,,
230,叫,110131,387,0.0574%,,
306,台,109362,388,0.0570%,,
1011,单,109359,389,0.0570%,,
2383,影,108862,390,0.0567%,,
893,具,108811,391,0.0567%,,
914,罗,108376,392,0.0564%,,
487,字,108218,393,0.0564%,,
1575,爱,108167,394,0.0563%,,
180,击,107513,395,0.0560%,,
1643,流,107397,396,0.0559%,,
986,备,107114,397,0.0558%,,
655,兵,106982,398,0.0557%,,
611,连,106814,399,0.0556%,,
1676,调,106379,400,0.0554%,,
1869,深,105924,401,0.0552%,,
1845,商,105406,402,0.0549%,,
2310,算,105293,403,0.0548%,,
950,质,104560,404,0.0545%,,
380,团,104151,405,0.0542%,,
2043,集,104019,406,0.0542%,,
348,百,103938,407,0.0541%,,
2296,需,103832,408,0.0541%,,
417,价,103634,409,0.0540%,,
579,花,103367,410,0.0538%,,
1504,党,103165,411,0.0537%,,
419,华,103158,412,0.0537%,,
1115,城,102833,413,0.0536%,,
200,石,102149,414,0.0532%,,
523,级,102018,415,0.0531%,,
2427,整,100910,416,0.0526%,,
996,府,100771,417,0.0525%,,
1606,离,100744,418,0.0525%,,
705,况,100680,419,0.0524%,,
333,亚,100251,420,0.0522%,,
1664,请,100226,421,0.0522%,,
541,技,99790,422,0.0520%,,
766,际,99412,423,0.0518%,,
524,约,99148,424,0.0516%,,
177,示,98963,425,0.0515%,,
1249,复,98822,426,0.0515%,,
1601,病,98692,427,0.0514%,,
1565,息,98447,428,0.0513%,,
740,究,98377,429,0.0512%,,
1090,线,98261,430,0.0512%,,
427,似,98057,431,0.0511%,,
1049,官,97897,432,0.0510%,,
152,火,97760,433,0.0509%,,
1855,断,97235,434,0.0506%,,
2334,精,97135,435,0.0506%,,
2242,满,96954,436,0.0505%,,
84,支,96814,437,0.0504%,,
1061,视,96326,438,0.0502%,,
1637,消,96263,439,0.0501%,,
1918,越,95657,440,0.0498%,,
2433,器,95444,441,0.0497%,,
1661,容,95407,442,0.0497%,,
2185,照,95020,443,0.0495%,,
1274,须,94903,444,0.0494%,,
12,九,94580,445,0.0493%,,
2365,增,93869,446,0.0489%,,
